Text,Sentiment (POS/NEG/NEU)
Shan Food ki quality bohat zabardast ha ...bohat zabardast shan team,Positive
ye bohat mazaydar ha,Positive
"Shan food bohat achi company hain, mujay in k masaly bohat pasand hain",Positive
bohat acha pakistani brand ha..zabardast quality,Positive
Hamare ghar me yehi msale use hote hain meri ami ki or hum sb ki pasand shan,Positive
bht km melta hai markt me eb q,Neutral
shan masale ke kya bat he khas tour per is ka namak who bhe hamalya namak,Positive
Shan ke add bohat pàyere ha kase me chines larke ha shan se jeeo,Positive
har product ki qeemat likhi honi chahiye ,Neutral
Behtareen product meray bachpan se..,Positive
"Shan masalay zaiqay me bohat achay hain, me apne har khane me shan masala use karti hoon",Positive
Pakistan ka sb se acha masala,Positive
is me bohat ziada acid or artifical color ha jo k cancer ki waja banta ha..or is k packet k andar insects bhi hotay hain,Negative
ziaqa bohat zabardast ha me hamesha shan masala he istimal karti hoon,Positive
Shan masaly me bohat mirchay hain....agar ap isay salan me dalengay to believe me ap salan nahi kha saktay,Negative
1 star denay ki waja bhi bata dain..,Neutral
zabardast shan masala ...sab shan products different hain or khane me umda...,Positive
Pakistan k bhetreen masalay,Positive
masalay ka ziaqa zabardast ha,Positive
me 3 saal se ye shan masalay istimal kar rahi hoon or ye ziaqay me bohat achay hain ,Positive
apki social media team responsive nai ha ..mujhay kuch masla tha masalay k hwale se me nay online bhi poucha per kisi ne koi jawab nai dia..,Negative
meri pehli pasand shan foods..,Positive
plz brost ki reciepe share karen...,Neutral
"bachpan se leker aaj tak mere ghar me sirf shan he use hota hy chahe woh koi b moqa ho eid ,baqra eid ,ramzan,milad,muharram,bbq party i justttt lovvee shan masale nihari,paaye,tandoori,pilao biryani ,sindhi biryani,bombay biryani ,bihari kabab,chiken tikka,qorma yeh sab kuch banta he nhi shan k baghair",Positive
we Love you SHAN masala bari SHAN say,Positive
Kia scene hai,Neutral
scene on hai,Positive
Hahahaha haftay baad pata chalay asal main acquire kiya hua ho,Neutral
baji me is ki bat kar rahi thi,Neutral
Kahan kahan dastiyab hai,Neutral
Khoobsurat add MashAllah,Positive
Outclass beshak orat se he gher me ronaq,Positive
oh yeaaah biryani mujhay bohat pasand ha,Positive
jab bhi me koi Shan advertisement dekhta hoon to  dil dukh jata hay bro,Neutral
thu thu kiya karo tum,Neutral
ussay kia hoga. Nazar thori utarni hay,Neutral
Muh mei pani agaya re baba,Positive
Pakistan humariii jaan,Positive
Loved the conversation haddi Mai kabab n all,Positive
Shan masala hai tu khany me hai maza,Positive
Cooking sauce kha say milay gi,Neutral
Stores pr bi available hay,Neutral
"Kis store pr agha,s pr nhi hay",Neutral
U ko bht pta h,Neutral
U pohanch gaye,Neutral
hr Khbar p h Nazar,Neutral
Chalo or kam asaan hogya,Neutral
Zindagi or b asan ab to flavour ki b tantion nai na saman mangwane ki koi parwa are waa shan ki kya bt ha,Positive
Kc ne use b kia hai ya nhi,Neutral
Mery jeso k li thanks SHAN,Positive
 Waqai tym sochny men hi lgta hy!,Neutral
Waqai tym sochny men hi lgta hy!,Negative
ye dekho! Is m bhi shan agay,Positive
main ye kha sakti hon swriously,Neutral
ye tou bana he lo plz plz,Neutral
Shan masala bht achy hoty hain. Main shan biryani masala se bnati hon biryani r bhi try kiy hoy hain.... Bht achy bnty hain khany,Positive
Kafi asan hai ye Try karon gaa,Positive
Mariam Khan ghee islye use krtay hen dm dete waqt rice dry nh hotay jbhi upper se ghee pour krtay hen agr hm teh dete waqt bottom m ghee dalden to lgnay ka khdsha rehta h,Neutral
Umme Ayman ary madam picture send kr rahi ho muj ko bna k khilao tu pta chaly ga ap k hath ka taste.,Neutral
Madiha Iqbal m to ap ko janti tak nah to biryani to dor ki bat hai,Neutral
Umme Ayman tu Kya hua dear agr ap muj ko nahi janti but biryani main apki zaror taste karni hai laim excuses ni chaly gay..,Neutral
yeh bnana phr MERI dawat krna,Neutral
ye khani haa,Neutral
 Behtreen Quality Masalas,Positive
hamain to pta hi nhi tha participate krty,Neutral
Presenting Pakistan ka Qoumi salan...Aalo salan Aalo Salan,Neutral
rice ki quantity to btana me bhul gai sorry,Neutral
Jub 2 dil miltay hain to piyar ho jata hai na ,Positive
similalry jub shan k2 masalay miltay hain to Biryani se bhi or ziada piyar hojata hai,Positive
May har Khany may shan't product use karti hoo,Positive
Shan Kay sary product ma use karti hon,Positive
Imtyaz super market me shan msale short hy,Negative
Yr is actress ny weight lost kaise kya,Neutral
Shan ky maslo ki to bat he or h .. yaammmiiii,Positive
Shan ky masly both achy hain ... khana both achay bundty hain,Positive
Humre pass ache Quality ka Salt hen 800 garm main.ache peaking or Quality Export Quality,Neutral
ye pink say white kiun hota ja raha hai,Neutral
Ye shadbagh me kahan se milay ga,Neutral
level hay boss marketing ka,Positive
Pink salt Imtiaz super mn nahi milta,Negative
Orijnal hy ya iodize salt ko hi pink clr dy diya hy,Neutral
"Saal ha Sal ke Aazmooda Masaleh, Hamaisha Khara Paya",Positive
Khan sa la reha hin,Neutral
Unsy kuch b pakany ka kaho agy sy jawb ata h mujhy q keh rh ho khud bnao ja kr,Neutral
Shan tu shandar hi ha,Positive
Me Shan k ilawa koi b masala us ni karti,Positive
SB ko mere hath ka kana acha lagata ha,Neutral
Shan madale boht bohth acha hai,Positive
Hmary ghr main shan recipes masaly hi use hoty hain,Positive
